% Bern2.5D EMIC
% (Equilibrium) Climate Sensitivity of 3K
% Years: 1850:2012
% Columns represent different forcing scenarios - confer to the paper Natural Variability ... reconciled
% First column is the default RCP forcing - the other ones employ different combinations and assumptions about solar and strat aerosol forcing

   1.6047986e+01   1.6047986e+01   1.6047986e+01   1.6045438e+01   1.6045438e+01   1.6045438e+01   1.6045438e+01   1.6045438e+01   1.6045438e+01
   1.6050266e+01   1.6050266e+01   1.6050266e+01   1.6048199e+01   1.6048199e+01   1.6048199e+01   1.6048199e+01   1.6048199e+01   1.6048199e+01
   1.6053559e+01   1.6053559e+01   1.6053559e+01   1.6052018e+01   1.6052018e+01   1.6052018e+01   1.6052018e+01   1.6052018e+01   1.6052018e+01
   1.6056003e+01   1.6056003e+01   1.6056003e+01   1.6054524e+01   1.6054524e+01   1.6054524e+01   1.6054524e+01   1.6054524e+01   1.6054524e+01
   1.6058768e+01   1.6058768e+01   1.6058768e+01   1.6055869e+01   1.6055869e+01   1.6055869e+01   1.6055869e+01   1.6055869e+01   1.6055869e+01
   1.6047967e+01   1.6047967e+01   1.6047967e+01   1.6058817e+01   1.6058817e+01   1.6058817e+01   1.6058817e+01   1.6058817e+01   1.6058817e+01
   1.6000087e+01   1.6000087e+01   1.6000087e+01   1.6001117e+01   1.6001117e+01   1.6001117e+01   1.6001117e+01   1.6001117e+01   1.6001117e+01
   1.5930945e+01   1.5930945e+01   1.5930945e+01   1.5912479e+01   1.5912479e+01   1.5912479e+01   1.5912479e+01   1.5912479e+01   1.5912479e+01
   1.5928378e+01   1.5928378e+01   1.5928378e+01   1.5923749e+01   1.5923749e+01   1.5923749e+01   1.5923749e+01   1.5923749e+01   1.5923749e+01
   1.5965001e+01   1.5965001e+01   1.5965001e+01   1.5964248e+01   1.5964248e+01   1.5964248e+01   1.5964248e+01   1.5964248e+01   1.5964248e+01
   1.5999576e+01   1.5999576e+01   1.5999576e+01   1.5998457e+01   1.5998457e+01   1.5998457e+01   1.5998457e+01   1.5998457e+01   1.5998457e+01
   1.6015651e+01   1.6015651e+01   1.6015651e+01   1.6019309e+01   1.6019309e+01   1.6019309e+01   1.6019309e+01   1.6019309e+01   1.6019309e+01
   1.6013639e+01   1.6013639e+01   1.6013639e+01   1.6009212e+01   1.6009212e+01   1.6009212e+01   1.6009212e+01   1.6009212e+01   1.6009212e+01
